window_id,window_start,window_end,window_center,window_W_seconds,window_stride_seconds,Tde_global_p99_ms_all,Tde_count,Tde_mean_ms,Tde_std_ms,Tde_max_ms,Tde_p95_ms,Tde_p99_ms,Tde_q1_ms,Tde_q3_ms,Tde_iqr_ms,Tde_tail_ratio_p99_mean,Tde_tail_exceed_rate,Tde_winsorized_mean_ms_p95cap,Tis_global_p99_ms_all,Tis_count,Tis_mean_ms,Tis_std_ms,Tis_max_ms,Tis_p95_ms,Tis_p99_ms,Tis_q1_ms,Tis_q3_ms,Tis_iqr_ms,Tis_tail_ratio_p99_mean,Tis_tail_exceed_rate,Tis_winsorized_mean_ms_p95cap,split,Tde_global_p99_ms_train,Tis_global_p99_ms_train
1,2025-05-28 22:59:23.347167,2025-05-28 23:04:23.347167,2025-05-28 23:01:53.347167,300,30,0.14247,20,0.06699999999999999,0.016202663848561248,0.106,0.08985000000000001,0.10276999999999997,0.06175,0.07425,0.012499999999999997,1.5338805970149252,0.0,0.0661925,2331.46382,20,964.5401000000002,220.56394955011885,1354.661,1352.18245,1354.16529,833.0595,1083.2292499999999,250.1697499999999,1.4039491878046333,0.0,964.4161725000001,train,0.14673,1965.2991199999994
2,2025-05-28 22:59:53.347167,2025-05-28 23:04:53.347167,2025-05-28 23:02:23.347167,300,30,0.14247,18,0.06761111111111111,0.01783631091139938,0.106,0.09494999999999998,0.10378999999999998,0.06125,0.07375,0.012499999999999997,1.5351027115858666,0.0,0.06699722222222221,2331.46382,20,1071.8141,344.8997019978417,1973.132,1783.3476500000002,1935.1751299999999,841.80025,1197.76325,355.96299999999997,1.805513782660631,0.05,1062.3248825,train,0.14673,1965.2991199999994
3,2025-05-28 23:00:23.347167,2025-05-28 23:05:23.347167,2025-05-28 23:02:53.347167,300,30,0.14247,20,0.06775,0.016954660902412336,0.106,0.09365000000000001,0.10352999999999998,0.06175,0.074,0.012249999999999997,1.5281180811808115,0.0,0.06713250000000001,2331.46382,20,1114.9671999999998,330.7990940770068,1973.132,1783.3476500000002,1935.1751299999999,875.325,1273.6145000000001,398.2895000000001,1.7356341334525358,0.05,1105.4779824999998,train,0.14673,1965.2991199999994
4,2025-05-28 23:00:53.347167,2025-05-28 23:05:53.347167,2025-05-28 23:03:23.347167,300,30,0.14247,19,0.06657894736842106,0.014960376515886088,0.093,0.0894,0.09228,0.062,0.074,0.011999999999999997,1.3860237154150197,0.0,0.06638947368421053,2331.46382,20,1172.3286999999998,369.0447232378411,1973.132,1819.53125,1942.4118499999997,875.325,1352.70425,477.37924999999996,1.6568833041449895,0.05,1164.6486624999998,train,0.14673,1965.2991199999994
5,2025-05-28 23:01:23.347167,2025-05-28 23:06:23.347167,2025-05-28 23:03:53.347167,300,30,0.14247,18,0.06772222222222223,0.01521147227880618,0.093,0.08959999999999999,0.09231999999999999,0.064,0.074,0.009999999999999995,1.3632157506152582,0.0,0.06753333333333333,2331.46382,20,1201.5641500000002,366.41175553729676,1973.132,1819.53125,1942.4118499999997,879.18025,1373.35275,494.1725,1.6165694107967514,0.05,1193.8841125000001,train,0.14673,1965.2991199999994
6,2025-05-28 23:01:53.347167,2025-05-28 23:06:53.347167,2025-05-28 23:04:23.347167,300,30,0.14247,19,0.06799999999999999,0.014441452681622979,0.093,0.0894,0.09228,0.064,0.074,0.009999999999999995,1.3570588235294119,0.0,0.06781052631578946,2331.46382,20,1236.8048000000001,364.88605631067617,1973.132,1819.53125,1942.4118499999997,934.127,1458.42575,524.2987500000002,1.5705080138757543,0.05,1229.1247625,train,0.14673,1965.2991199999994
7,2025-05-28 23:02:23.347167,2025-05-28 23:07:23.347167,2025-05-28 23:04:53.347167,300,30,0.14247,20,0.06839999999999999,0.01416964880893034,0.093,0.0892,0.09223999999999999,0.064,0.0745,0.010499999999999995,1.3485380116959065,0.0,0.06820999999999999,2331.46382,20,1292.4102000000003,407.0359104508955,2142.83,1981.6169000000002,2110.58738,966.73425,1549.06975,582.3355000000001,1.63306307857985,0.1,1284.3495450000003,train,0.14673,1965.2991199999994
8,2025-05-28 23:02:53.347167,2025-05-28 23:07:53.347167,2025-05-28 23:05:23.347167,300,30,0.14247,18,0.06977777777777777,0.014542253064192169,0.093,0.08959999999999999,0.09231999999999999,0.06525,0.076,0.010749999999999996,1.3230573248407642,0.0,0.06958888888888888,2331.46382,20,1295.7207,408.1320020336687,2142.83,1981.6169000000002,2110.58738,962.958,1549.06975,586.1117500000001,1.6288906860869012,0.1,1287.660045,train,0.14673,1965.2991199999994
9,2025-05-28 23:03:23.347167,2025-05-28 23:08:23.347167,2025-05-28 23:05:53.347167,300,30,0.14247,20,0.06789999999999999,0.01683011086056617,0.093,0.0892,0.09223999999999999,0.064,0.076,0.011999999999999997,1.3584683357879235,0.0,0.06770999999999999,2331.46382,20,1300.5014999999999,419.52581419157656,2142.83,1981.6169000000002,2110.58738,934.127,1549.06975,614.9427500000002,1.62290268792462,0.1,1292.440845,train,0.14673,1965.2991199999994
10,2025-05-28 23:03:53.347167,2025-05-28 23:08:53.347167,2025-05-28 23:06:23.347167,300,30,0.14247,22,0.06663636363636363,0.01740428369422571,0.093,0.08839999999999999,0.09215999999999999,0.064,0.07475,0.010749999999999996,1.3830286493860846,0.0,0.0664,2331.46382,20,1330.8589,387.9648283233796,2142.83,1981.6169000000002,2110.58738,965.57975,1549.06975,583.4900000000001,1.5858836575387518,0.1,1322.798245,train,0.14673,1965.2991199999994
